id;start_date;end_date;language
1;2020-12-17T06:03:05;2020-12-17T03:53:20;SPANISH
2;2020-12-16T10:53:16;2020-12-17T05:57:41;SPANISH
3;2020-12-17T01:48:35;2020-12-16T12:22:44;FRENCH
4;2020-12-16T17:06:06;2020-12-17T04:37:32;FRENCH
5;2020-12-17T02:36:24;2020-12-17T07:23:23;FRENCH
6;2020-12-16T20:28:45;2020-12-17T08:36:59;FRENCH
7;2020-12-16T22:14:05;2020-12-16T16:04:56;FRENCH
8;2020-12-16T21:10:18;2020-12-17T07:26:26;SPANISH
9;2020-12-16T19:51:27;2020-12-16T16:32:50;SPANISH
10;2020-12-17T04:03:31;2020-12-16T14:38:01;SPANISH
